external_urls/spotify;followers/href;followers/total;genres/0;href;id;images/0/height;images/0/url;images/0/width;images/1/height;images/1/url;images/1/width;images/2/height;images/2/url;images/2/width;name;popularity;type;uri;genres/1;genres/2;genres/3;genres/4;genres/5;images/0;images/3/height;images/3/url;images/3/width;genres/6;genres/7;genres/8;genres/9;genres/10
https://open.spotify.com/artist/3qSztsZOr73ah3ahQ84v9f;;6947;hoerspiel;https://api.spotify.com/v1/artists/3qSztsZOr73ah3ahQ84v9f;3qSztsZOr73ah3ahQ84v9f;640;https://i.scdn.co/image/ab6761610000e5eb2eb20ad90852b3d03a9ab4bd;640;320;https://i.scdn.co/image/ab676161000051742eb20ad90852b3d03a9ab4bd;320;160;https://i.scdn.co/image/ab6761610000f1782eb20ad90852b3d03a9ab4bd;160;Karl May;49;artist;spotify:artist:3qSztsZOr73ah3ahQ84v9f;;;;;;;;;;;;;;
https://open.spotify.com/artist/388Jc5WX2TxTOgGwXidDM7;;143203;german metal;https://api.spotify.com/v1/artists/388Jc5WX2TxTOgGwXidDM7;388Jc5WX2TxTOgGwXidDM7;640;https://i.scdn.co/image/ab6761610000e5ebdca86f5b90c15c0c9efa67a4;640;320;https://i.scdn.co/image/ab67616100005174dca86f5b90c15c0c9efa67a4;320;160;https://i.scdn.co/image/ab6761610000f178dca86f5b90c15c0c9efa67a4;160;Schandmaul;52;artist;spotify:artist:388Jc5WX2TxTOgGwXidDM7;hurdy-gurdy;medieval rock;;;;;;;;;;;;
https://open.spotify.com/artist/7jBfzxUkrHRmy6EezZuegA;;30637;canadian metal;https://api.spotify.com/v1/artists/7jBfzxUkrHRmy6EezZuegA;7jBfzxUkrHRmy6EezZuegA;266;https://i.scdn.co/image/b7599d33a21b6ad1d865ef5a8c048c535d16b7eb;400;133;https://i.scdn.co/image/c8f198980fa2a9b2249890c38b2f802c5687ee91;200;43;https://i.scdn.co/image/91db4ec91a4e13deb8df33827fc7f629b6055bdd;64;Ex Deo;37;artist;spotify:artist:7jBfzxUkrHRmy6EezZuegA;melodic death metal;quebec death metal;symphonic death metal;symphonic metal;;;;;;;;;;
https://open.spotify.com/artist/3OpqU68JpZlzvjAJj3B2Da;;523534;british power metal;https://api.spotify.com/v1/artists/3OpqU68JpZlzvjAJj3B2Da;3OpqU68JpZlzvjAJj3B2Da;640;https://i.scdn.co/image/ab6761610000e5eb1f737960c4e070e773691376;640;320;https://i.scdn.co/image/ab676161000051741f737960c4e070e773691376;320;160;https://i.scdn.co/image/ab6761610000f1781f737960c4e070e773691376;160;Alestorm;61;artist;spotify:artist:3OpqU68JpZlzvjAJj3B2Da;comic;comic metal;folk metal;metal;pirate;;;;;power metal;scottish metal;;;
https://open.spotify.com/artist/2wgA6YT3CCaqmCjJHTPRSy;;3762;hoerspiel;https://api.spotify.com/v1/artists/2wgA6YT3CCaqmCjJHTPRSy;2wgA6YT3CCaqmCjJHTPRSy;640;https://i.scdn.co/image/ab67616d0000b2730bc3f4d94c121fd6067ac429;640;300;https://i.scdn.co/image/ab67616d00001e020bc3f4d94c121fd6067ac429;300;64;https://i.scdn.co/image/ab67616d000048510bc3f4d94c121fd6067ac429;64;Die rätselhaften Fälle des Pater Brown;28;artist;spotify:artist:2wgA6YT3CCaqmCjJHTPRSy;;;;;;;;;;;;;;
https://open.spotify.com/artist/6B5c4sch27tWHAGdarpPaW;;2824902;alternative metal;https://api.spotify.com/v1/artists/6B5c4sch27tWHAGdarpPaW;6B5c4sch27tWHAGdarpPaW;640;https://i.scdn.co/image/ab6761610000e5ebae16317ddc36675cf6de4826;640;320;https://i.scdn.co/image/ab67616100005174ae16317ddc36675cf6de4826;320;160;https://i.scdn.co/image/ab6761610000f178ae16317ddc36675cf6de4826;160;Seether;73;artist;spotify:artist:6B5c4sch27tWHAGdarpPaW;nu metal;post-grunge;south african rock;;;;;;;;;;;
https://open.spotify.com/artist/2Tv6Xbbismxj97q657wtJF;;1671;hoerspiel;https://api.spotify.com/v1/artists/2Tv6Xbbismxj97q657wtJF;2Tv6Xbbismxj97q657wtJF;640;https://i.scdn.co/image/ab6761610000e5ebc61055c3e6f6a8b3d9fc4b5d;640;320;https://i.scdn.co/image/ab67616100005174c61055c3e6f6a8b3d9fc4b5d;320;160;https://i.scdn.co/image/ab6761610000f178c61055c3e6f6a8b3d9fc4b5d;160;Jens Wawrczeck;45;artist;spotify:artist:2Tv6Xbbismxj97q657wtJF;;;;;;;;;;;;;;
https://open.spotify.com/artist/71vVmHeNgCVSa5SVmfvscU;;462776;album rock;https://api.spotify.com/v1/artists/71vVmHeNgCVSa5SVmfvscU;71vVmHeNgCVSa5SVmfvscU;640;https://i.scdn.co/image/ab6761610000e5ebd6c7f32a99b42bfacc7a3403;640;320;https://i.scdn.co/image/ab67616100005174d6c7f32a99b42bfacc7a3403;320;160;https://i.scdn.co/image/ab6761610000f178d6c7f32a99b42bfacc7a3403;160;Saxon;55;artist;spotify:artist:71vVmHeNgCVSa5SVmfvscU;glam metal;hard rock;metal;nwobhm;power metal;;;;;rock;;;;
https://open.spotify.com/artist/3Q6qDp4ybwv2KPJiWNw3xE;;13817;hoerspiel;https://api.spotify.com/v1/artists/3Q6qDp4ybwv2KPJiWNw3xE;3Q6qDp4ybwv2KPJiWNw3xE;640;https://i.scdn.co/image/ab6761610000e5eb77171f96c68d6af88aba914f;640;320;https://i.scdn.co/image/ab6761610000517477171f96c68d6af88aba914f;320;160;https://i.scdn.co/image/ab6761610000f17877171f96c68d6af88aba914f;160;Professor van Dusen;53;artist;spotify:artist:3Q6qDp4ybwv2KPJiWNw3xE;writing;;;;;;;;;;;;;
https://open.spotify.com/artist/2UOVgpgiNTC6KK0vSC77aD;;263437;finnish death metal;https://api.spotify.com/v1/artists/2UOVgpgiNTC6KK0vSC77aD;2UOVgpgiNTC6KK0vSC77aD;640;https://i.scdn.co/image/ab6761610000e5ebd843a566ac64b933b3f2229d;640;320;https://i.scdn.co/image/ab67616100005174d843a566ac64b933b3f2229d;320;160;https://i.scdn.co/image/ab6761610000f178d843a566ac64b933b3f2229d;160;Amorphis;56;artist;spotify:artist:2UOVgpgiNTC6KK0vSC77aD;finnish melodeath;finnish metal;folk metal;gothic metal;melodic death metal;;;;;metal;power metal;progressive doom;;
